Date,CCI Value,GDP per capita growth (annual %),index,10 Year Treasury Yield,3 Month Treasury Yield,3 Month Treasury Yield (Bond Equivalent Basis),Spread,Rec_prob,NBER_Rec,Year
1970-12-31,98.74387,1.55227279684919,125.5,7.348333333333334,6.391666666666668,6.5884189975958725,0.7599143357374621,0.3445209304847901,1.0,1970
1971-12-31,99.42551666666667,2.18847110725366,137.5,6.159166666666667,4.3325,4.442090908776863,1.7170757578898035,0.1688178227331789,0.0,1971
1972-12-31,100.45844750000002,3.62034603454364,149.5,6.21,4.072500000000001,4.172883521704089,2.03711647829591,0.05695523226379387,0.0,1972
1973-12-31,98.6406025,4.45220500206499,161.5,6.8425,7.031666666666666,7.261206219009398,-0.4187062190093978,0.040342088386602935,1.0,1973
1974-12-31,98.0899425,0.0507848306460517,173.5,7.557500000000002,7.829999999999999,8.099748653399912,-0.5422486533999115,0.41034560596637565,1.0,1974
1975-12-31,98.91003958333333,-1.2381056117046798,185.5,7.9875,5.7749999999999995,5.942422549790752,2.0450774502092472,0.42831328119134243,1.0,1975
1976-12-31,100.33828125000001,3.42618857153256,197.5,7.611666666666667,4.974166666666667,5.1076536705969255,2.5040129960697417,0.03935847520126121,0.0,1976
1977-12-31,100.45041583333334,2.14540104013507,209.5,7.419166666666666,5.269166666666667,5.41544290778038,2.0037237588862866,0.017434443426151563,0.0,1977
1978-12-31,100.0321566666667,2.10453136582056,221.5,8.410000000000002,7.188333333333333,7.425390804826821,0.9846091951731785,0.04483875116868075,0.0,1978
1979-12-31,98.72628291666666,2.3199938640636297,233.5,9.4425,10.069166666666666,10.478785449374259,-1.036285449374261,0.14734158862001343,0.0,1979
1980-12-31,98.16152708333333,0.152197781559167,245.5,11.46,11.434166666666668,11.958218629943838,-0.4982186299438374,0.5432997820267578,1.0,1980
1981-12-31,98.4506533333333,0.158993962531014,257.5,13.910833333333331,14.024999999999999,14.749946645420613,-0.8391133120872781,0.45452309207766084,1.0,1981
1982-12-31,98.23096374999999,-1.35133746366949,269.5,13.001666666666667,10.614166666666664,11.071896324046842,1.9297703426198256,0.5223765280238291,1.0,1982
1983-12-31,100.11439666666662,0.6193138100359189,281.5,11.105000000000002,8.610833333333334,8.925216985672332,2.179783014327667,0.08074880093947676,0.0,1983
1984-12-31,101.00459999999998,2.71551344351812,293.5,12.438333333333333,9.522499999999999,9.894219748451432,2.5441135848819036,0.02993417039227318,0.0,1984
1985-12-31,100.74324999999999,1.93458390861669,305.5,10.623333333333333,7.479166666666665,7.72985070462099,2.8934826287123427,0.02044003343824419,0.0,1985
1986-12-31,100.94484583333333,1.59612661244456,317.5,7.682499999999998,5.978333333333333,6.155451955737289,1.5270480442627117,0.011119594723948885,0.0,1986
1987-12-31,100.67079916666667,1.88818915732828,329.5,8.384166666666664,5.7749999999999995,5.9421340947414985,2.4420325719251683,0.07135414426957247,0.0,1987
1988-12-31,101.0060083333333,2.79799486051803,341.5,8.845833333333335,6.667500000000001,6.877696662636175,1.9681366706971597,0.02667613135509156,0.0,1988
1989-12-31,100.8418083333333,1.90476330929779,353.5,8.498333333333333,8.111666666666666,8.39693923280291,0.1013941005304213,0.05184837566608682,0.0,1989
1990-12-31,99.639765,1.15141407032107,365.5,8.549999999999999,7.493333333333333,7.744394078554053,0.8056059214459467,0.27667494406874454,1.0,1990
1991-12-31,99.62230694444445,-0.240609581662852,377.5,7.858333333333334,5.375,5.52561037392276,2.3327229594105727,0.1540226394822601,1.0,1991
1992-12-31,100.02668638888889,0.196219139350177,389.5,7.010000000000001,3.4316666666666666,3.5101556991699545,3.499844300830045,0.025063487162839283,0.0,1992
1993-12-31,100.85930916666672,-0.0250873410803933,401.5,5.873333333333332,2.9975,3.062346056900955,2.8109872764323787,0.00311481171945808,0.0,1993
1994-12-31,100.43590111111112,1.4706334783520298,413.5,7.079999999999999,4.246666666666667,4.353938970671754,2.726061029328246,0.01196962845858475,0.0,1994
1995-12-31,101.0750388888889,1.49539603485603,425.5,6.579999999999999,5.489999999999999,5.644690353568534,0.9353096464314664,0.013052552724240038,0.0,1995
1996-12-31,101.03826944444444,1.9011154138729,437.5,6.438333333333333,5.005833333333334,5.1404220635387325,1.2979112697946011,0.13938795063581305,0.0,1996
1997-12-31,100.96988138888887,2.24559157004829,449.5,6.352499999999999,5.060833333333334,5.197631738655841,1.154868261344158,0.09272586040393133,0.0,1997
1998-12-31,100.52361055555558,1.1484723474359,461.5,5.264166666666666,4.776666666666666,4.9025056074281315,0.3616610592385348,0.10822759195924499,0.0,1998
1999-12-31,100.89748583333332,1.89479404707362,473.5,5.636666666666667,4.638333333333334,4.758741860859324,0.8779248058073433,0.2237873197232648,0.0,1999
2000-12-31,101.45000166666667,3.03190011389928,485.5,6.029166666666666,5.816666666666666,5.985619430210444,0.04354723645622327,0.14185570971015746,0.0,2000
2001-12-31,100.57077527777778,0.6393727887188161,497.5,5.017500000000001,3.3883333333333323,3.4681314549978755,1.5493685450021244,0.3004741307482873,1.0,2001
2002-12-31,100.54046388888888,0.90436719475511,509.5,4.610833333333333,1.6024999999999998,1.6314527226349,2.9793806106984335,0.1024845552169978,0.0,2002
2003-12-31,99.85390944444444,1.62689392122614,521.5,4.015,1.0108333333333333,1.0275280049770437,2.987471995022956,0.009777483933263673,0.0,2003
2004-12-31,100.30983916666668,3.09014742073617,533.5,4.274166666666667,1.3716666666666668,1.3960622200807726,2.8781044465858945,0.009098401843018264,0.0,2004
2005-12-31,100.16527944444447,2.5889588579121297,545.5,4.29,3.146666666666667,3.2166140062919606,1.0733859937080397,0.012984164321545567,0.0,2005
2006-12-31,100.22772416666663,3.05137037875647,557.5,4.791666666666667,4.7266666666666675,4.850398676339003,-0.05873200967233566,0.12207108844276442,0.0,2006
2007-12-31,100.34091666666671,2.94519417957679,569.5,4.629166666666666,4.353333333333334,4.46408377899143,0.16508288767523788,0.31202653112622225,0.0,2007
2008-12-31,98.32036944444442,0.6065068533388001,581.5,3.6666666666666665,1.3650000000000004,1.3902127796734403,2.276453886993227,0.2717742227247193,1.0,2008
2009-12-31,97.76683305555554,-2.87494508623649,593.5,3.2566666666666664,0.15,0.15215320831664683,3.10451345835002,0.03294666133722065,1.0,2009
2010-12-31,98.67336722222223,3.03907181532541,605.5,3.214166666666667,0.1366666666666667,0.1386147240715672,3.0755519425950997,0.0077793412153169365,0.0,2010
2011-12-31,98.12955083333333,1.92045246646602,617.5,2.7858333333333327,0.05250000000000001,0.05324174994425676,2.7325915833890764,0.008634305015448334,0.0,2011
2012-12-31,98.41547055555554,1.3122564130472398,629.5,1.8025,0.08583333333333332,0.08704535135141911,1.715454648648581,0.016936763215489644,0.0,2012
2013-12-31,98.54891999999998,1.4499460944493705,641.5,2.350833333333333,0.05833333333333333,0.0591534729072597,2.2916798604260737,0.05401632607799894,0.0,2013
2014-12-31,99.22209222222224,1.63953252615742,653.5,2.5408333333333335,0.03250000000000001,0.03295435785488231,2.507878975478451,0.027467929248380096,0.0,2014
2015-12-31,99.8776713888889,1.66391263108147,665.5,2.1358333333333337,0.0525,0.053245683683123796,2.08258764965021,0.017562839677383354,0.0,2015
2016-12-31,99.65850416666666,1.3842033026543,677.5,1.8416666666666668,0.31750000000000006,0.3221837945459715,1.5194828721206954,0.032559489104666876,0.0,2016
2017-12-31,101.13277361111115,1.99891054482104,689.5,2.3299999999999996,0.9308333333333335,0.9461378023544076,1.3838621976455927,0.06928414758546213,0.0,2017
2018-12-31,101.81858055555557,1.90794569558348,701.5,2.9099999999999997,1.9391666666666667,1.9759997147735209,0.9340002852264795,0.08278548638603606,0.0,2018
